Image Path,Digit
src\digit detection\data\1\img002-00001.png,1
src\digit detection\data\1\img002-00002.png,1
src\digit detection\data\1\img002-00003.png,1
src\digit detection\data\1\img002-00004.png,1
src\digit detection\data\1\img002-00005.png,1
src\digit detection\data\1\img002-00006.png,1
src\digit detection\data\1\img002-00007.png,1
src\digit detection\data\1\img002-00008.png,1
src\digit detection\data\1\img002-00009.png,1
src\digit detection\data\1\img002-00010.png,1
src\digit detection\data\1\img002-00011.png,1
src\digit detection\data\1\img002-00012.png,1
src\digit detection\data\1\img002-00013.png,1
src\digit detection\data\1\img002-00014.png,1
src\digit detection\data\1\img002-00015.png,1
src\digit detection\data\1\img002-00016.png,1
src\digit detection\data\1\img002-00017.png,1
src\digit detection\data\1\img002-00018.png,1
src\digit detection\data\1\img002-00019.png,1
src\digit detection\data\1\img002-00020.png,1
src\digit detection\data\1\img002-00021.png,1
src\digit detection\data\1\img002-00022.png,1
src\digit detection\data\1\img002-00023.png,1
src\digit detection\data\1\img002-00024.png,1
src\digit detection\data\1\img002-00025.png,1
src\digit detection\data\1\img002-00026.png,1
src\digit detection\data\1\img002-00027.png,1
src\digit detection\data\1\img002-00028.png,1
src\digit detection\data\1\img002-00029.png,1
src\digit detection\data\1\img002-00030.png,1
src\digit detection\data\1\img002-00031.png,1
src\digit detection\data\1\img002-00032.png,1
src\digit detection\data\1\img002-00033.png,1
src\digit detection\data\1\img002-00034.png,1
src\digit detection\data\1\img002-00035.png,1
src\digit detection\data\1\img002-00036.png,1
src\digit detection\data\1\img002-00037.png,1
src\digit detection\data\1\img002-00038.png,1
src\digit detection\data\1\img002-00039.png,1
src\digit detection\data\1\img002-00040.png,1
src\digit detection\data\1\img002-00041.png,1
src\digit detection\data\1\img002-00042.png,1
src\digit detection\data\1\img002-00043.png,1
src\digit detection\data\1\img002-00044.png,1
src\digit detection\data\1\img002-00045.png,1
src\digit detection\data\1\img002-00046.png,1
src\digit detection\data\1\img002-00047.png,1
src\digit detection\data\1\img002-00048.png,1
src\digit detection\data\1\img002-00049.png,1
src\digit detection\data\1\img002-00050.png,1
src\digit detection\data\1\img002-00051.png,1
src\digit detection\data\1\img002-00052.png,1
src\digit detection\data\1\img002-00053.png,1
src\digit detection\data\1\img002-00054.png,1
src\digit detection\data\1\img002-00055.png,1
src\digit detection\data\1\img002-00056.png,1
src\digit detection\data\1\img002-00057.png,1
src\digit detection\data\1\img002-00058.png,1
src\digit detection\data\1\img002-00059.png,1
src\digit detection\data\1\img002-00060.png,1
src\digit detection\data\1\img002-00061.png,1
src\digit detection\data\1\img002-00062.png,1
src\digit detection\data\1\img002-00063.png,1
src\digit detection\data\1\img002-00064.png,1
src\digit detection\data\1\img002-00065.png,1
src\digit detection\data\1\img002-00066.png,1
src\digit detection\data\1\img002-00067.png,1
src\digit detection\data\1\img002-00068.png,1
src\digit detection\data\1\img002-00069.png,1
